latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,frp,daynight,month,day
-19.902,144.56,335.4,1.3,1.1,2020-01-01,0.0,Terra,69,22.2,D,1,1
-19.9,144.548,334.8,1.3,1.1,2020-01-01,0.0,Terra,60,20.8,D,1,1
-19.885,144.586,334.0,1.3,1.1,2020-01-01,0.0,Terra,66,18.1,D,1,1
-19.842,144.489,331.3,1.2,1.1,2020-01-01,0.0,Terra,57,14.2,D,1,1
-19.844,144.586,334.4,1.3,1.1,2020-01-01,0.0,Terra,57,19.1,D,1,1
-19.843,144.57399999999998,337.4,1.3,1.1,2020-01-01,0.0,Terra,66,24.2,D,1,1
-20.089000000000002,147.025,325.5,1.8,1.3,2020-01-01,0.0,Terra,42,23.3,D,1,1
-19.627,144.55700000000002,350.2,1.3,1.1,2020-01-01,0.0,Terra,93,59.0,D,1,1
-19.625,144.545,339.8,1.2,1.1,2020-01-01,0.0,Terra,80,31.4,D,1,1
-19.617,144.558,334.1,1.3,1.1,2020-01-01,0.0,Terra,46,17.7,D,1,1
-19.608,144.572,336.5,1.3,1.1,2020-01-01,0.0,Terra,68,23.7,D,1,1
-19.598,144.57299999999998,333.6,1.3,1.1,2020-01-01,0.0,Terra,31,16.2,D,1,1
-19.599,144.579,332.1,1.3,1.1,2020-01-01,0.0,Terra,55,13.4,D,1,1
-19.597,144.567,332.8,1.3,1.1,2020-01-01,0.0,Terra,63,13.6,D,1,1
-19.414,143.359,352.7,1.1,1.0,2020-01-01,0.0,Terra,95,61.1,D,1,1
-19.238,146.124,332.7,1.6,1.2,2020-01-01,0.0,Terra,68,27.7,D,1,1
-19.215999999999998,146.127,336.3,1.6,1.2,2020-01-01,0.0,Terra,81,38.1,D,1,1
-19.205,146.128,331.5,1.6,1.2,2020-01-01,0.0,Terra,74,26.2,D,1,1
-19.147000000000002,145.929,325.5,1.5,1.2,2020-01-01,0.0,Terra,41,11.4,D,1,1
-15.95,143.41899999999998,328.1,1.0,1.0,2020-01-01,0.0,Terra,65,10.4,D,1,1
-15.957,143.412,338.8,1.0,1.0,2020-01-01,0.0,Terra,85,26.0,D,1,1
-18.469,144.03799999999998,338.6,1.1,1.1,2020-01-01,0.0,Terra,83,24.4,D,1,1
-14.850999999999999,134.27700000000002,325.9,2.9,1.6,2020-01-01,0.0,Terra,72,36.5,D,1,1
-14.856,134.303,325.8,2.9,1.6,2020-01-01,0.0,Terra,71,37.3,D,1,1
-14.856,134.296,328.8,2.9,1.6,2020-01-01,0.0,Terra,74,51.8,D,1,1
-16.63,145.15,333.6,1.2,1.1,2020-01-01,0.0,Terra,34,23.2,D,1,1
-16.64,145.148,344.3,1.2,1.1,2020-01-01,0.0,Terra,89,48.2,D,1,1
-16.642,145.161,337.7,1.2,1.1,2020-01-01,0.0,Terra,77,30.8,D,1,1
-17.084,144.658,333.6,1.2,1.1,2020-01-01,0.0,Terra,81,25.5,D,1,1
-17.405,145.239,330.8,1.3,1.1,2020-01-01,0.0,Terra,80,25.0,D,1,1
-16.357,137.685,336.9,1.5,1.2,2020-01-01,0.0,Terra,82,43.6,D,1,1
-16.36,137.69899999999998,329.5,1.5,1.2,2020-01-01,0.0,Terra,53,25.0,D,1,1
-16.359,137.678,327.2,1.5,1.2,2020-01-01,0.0,Terra,20,20.3,D,1,1
-16.361,137.692,335.8,1.5,1.2,2020-01-01,0.0,Terra,77,40.8,D,1,1
-16.364,137.70600000000002,329.5,1.5,1.2,2020-01-01,0.0,Terra,52,29.1,D,1,1
-16.519000000000002,137.339,331.4,1.6,1.2,2020-01-01,0.0,Terra,75,32.7,D,1,1
-16.67,137.94299999999998,329.9,1.4,1.2,2020-01-01,0.0,Terra,62,22.0,D,1,1
-17.85,143.335,339.9,1.1,1.0,2020-01-01,0.0,Terra,83,28.0,D,1,1
-18.117,144.224,337.8,1.2,1.1,2020-01-01,0.0,Terra,84,29.2,D,1,1
-18.118,144.235,327.9,1.2,1.1,2020-01-01,0.0,Terra,66,11.4,D,1,1
-18.36,145.31,337.7,1.3,1.1,2020-01-01,0.0,Terra,79,40.4,D,1,1
-18.362000000000002,145.322,329.1,1.3,1.1,2020-01-01,0.0,Terra,46,23.5,D,1,1
-18.383,145.32,334.6,1.3,1.1,2020-01-01,0.0,Terra,67,32.9,D,1,1
-18.393,145.31799999999998,328.8,1.3,1.1,2020-01-01,0.0,Terra,46,20.1,D,1,1
-18.395,145.33100000000002,332.0,1.3,1.1,2020-01-01,0.0,Terra,66,28.1,D,1,1
-18.39,145.217,333.7,1.3,1.1,2020-01-01,0.0,Terra,49,19.7,D,1,1
-18.403,145.317,326.5,1.3,1.1,2020-01-01,0.0,Terra,46,15.4,D,1,1
-18.405,145.33,335.6,1.3,1.1,2020-01-01,0.0,Terra,82,35.3,D,1,1
-18.414,145.316,343.6,1.3,1.1,2020-01-01,0.0,Terra,89,54.2,D,1,1
-18.415,145.329,330.3,1.3,1.1,2020-01-01,0.0,Terra,74,24.0,D,1,1
-18.105,143.001,336.0,1.0,1.0,2020-01-01,0.0,Terra,53,20.0,D,1,1
-35.724000000000004,136.81799999999998,327.5,1.0,1.0,2020-01-01,0.0,Terra,77,20.3,D,1,1
-35.758,136.731,335.3,1.0,1.0,2020-01-01,0.0,Terra,85,27.7,D,1,1
-35.759,136.799,382.1,1.0,1.0,2020-01-01,0.0,Terra,100,152.5,D,1,1
-35.757,136.78799999999998,392.4,1.0,1.0,2020-01-01,0.0,Terra,100,198.9,D,1,1
-35.755,136.77700000000002,334.8,1.0,1.0,2020-01-01,0.0,Terra,36,22.5,D,1,1
-35.75,136.744,344.9,1.0,1.0,2020-01-01,0.0,Terra,92,41.3,D,1,1
-35.75,136.80100000000002,395.4,1.0,1.0,2020-01-01,0.0,Terra,100,218.7,D,1,1
-35.748000000000005,136.79,399.9,1.0,1.0,2020-01-01,0.0,Terra,100,242.5,D,1,1
-35.746,136.779,359.5,1.0,1.0,2020-01-01,0.0,Terra,99,73.3,D,1,1
-35.743,136.757,344.8,1.0,1.0,2020-01-01,0.0,Terra,64,40.2,D,1,1
-35.741,136.746,356.2,1.0,1.0,2020-01-01,0.0,Terra,97,65.8,D,1,1
-35.741,136.803,379.8,1.0,1.0,2020-01-01,0.0,Terra,100,144.2,D,1,1
-35.739000000000004,136.792,389.4,1.0,1.0,2020-01-01,0.0,Terra,100,186.6,D,1,1
-35.736999999999995,136.781,345.5,1.0,1.0,2020-01-01,0.0,Terra,74,42.0,D,1,1
-35.734,136.759,369.3,1.0,1.0,2020-01-01,0.0,Terra,100,104.7,D,1,1
